destino,actividad,precio,descripcion
Medellín,Tour de 1 día a Gómez Plata y Carolina del Principe desde Medellín,$145.000,"Sumérgete en la época colonial y vive un inolvidable día en los pueblos del norte de Antioquia con este Tour de un día en el que visitarás los municipios de Gómez Plata y Carolina del Príncipe saliendo desde Medellín . Durante este tour colonial conocerás el municipio Carolina del Príncipe , considerado como el “jardín colonial de América” por la apariencia de los balcones de sus casas. Además, pasarás por los bosques nativos del municipio que son el hábitat natural del Puma Andino . Algunos de los lugares que visitarás en este Tour a Gómez Plata y Carolina del Pricipe son: El Parque Principal de Gómez Plata. El Parque Principal de Carolina del Príncipe. El Templo de la Conchita. Los charcos de La Vega. ¿Qué esperas para disfrutar un día en familia en los pueblos coloniales del Norte de Antioquia ? Realiza tu reserva. Precios y Descuentos El precio por persona para adultos y mayores de 7 años es de COP $145.000 El precio por persona para niños de 3 a 6 años es de COP $110.000 El precio por persona para menores de 2 años es de COP $20.000"
Medellín,Tour de 2 días a la Hacienda Nápoles + Santorini + Rio Claro,$540.000,"Si eres amante de la aventura y de la naturaleza este tour de dos días al Parque Temático Hacienda Nápoles y la Reserva Natural Cañón de Río Claro es perfecto para ti. Pasaporte Aventura Si buscas una opción más sencilla pero igualmente emocionante, el Pasaporte Aventura es perfecto para ti. Incluye acceso a: Acuasaurios: La diversión acuática comienza aquí. Octopus: Disfruta de la diversión con sus chorros de agua. Ambos pasaportes te brindan una experiencia única en Hacienda Nápoles, donde la aventura y la naturaleza se combinan para crear momentos inolvidables. ¡No te lo pierdas! Igualmente, visitarás la Reserva Natural Cañón de Río Claro, un paraíso natural en el que disfrutarás de: La Caverna de los Guácharos: Una caverna de 400 metros de largo donde anida la especie en peligro de extinción conocida como “Guácharos”, La Playa de Mármol: Una piscina natural con fondo de mármol donde podrás tomar un refrescante baño. La Playa Manantial: El lugar donde finaliza la Caverna de los Guácharos, que se caracteriza por sus tranquilas aguas cristalinas. Rafting: Aquí podrás navegar por el río en sentido de la corriente en botes inflables. Canopy: Cruzarás de una plataforma a otra, ubicadas en las copas de los árboles, colgado de una cuerda asegurado con arneses. Vía Ferrata: Escalarás una pared de roca. No te quedes sin vivir un viaje que estará lleno de naturaleza, aventura y adrenalina. Reserva tu cupo ya. Precios PASAPORTE AVENTURA: El precio por persona d e ingreso al parque y seguro para niños de 1 a 2 años es de COP $170.000 El precio por persona de ingreso al parque, silla en el bus y seguro para niños de 3 a 4 años es de COP $410.000 El precio por persona en acomodación doble para adultos o mayores de 5 años es de COP $ 540.000"
Valle de Cocora,"Trekking de un día en el Valle de Cocora, Quindío",$156.000,"Disfruta de un día de senderismo o trekking inolvidable con el paisaje característico del Valle de Cocora; un paraíso natural ubicado en el corazón del Eje Cafetero , cerca al municipio Salento, Quindío. En esta actividad tendrás la posibilidad de c aminar en la puerta de entrada del Parque Nacional Natural los Nevados, lugar reconocido internacionalmente por su paisaje y diversidad natural en la que se encuentra la Palma de Cera, árbol nacional de Colombia. Esta experiencia será inolvidable si eres un a pasionado de la montaña y el senderismo, y para tu tranquilidad, no necesitas ser un(a) experto(a) para participar de ella , ya que su dificultad es moderada. Durante la actividad podrás observar entre otras cosas: Los increíbles paisajes de pastizales. las imponentes Palmas de cera. Los Bosques altos andinos. La Reserva Acaime. La Reserva de la Montaña. Y una gran variedad de Colibríes. ¿Te animas a vivir una experiencia inolvidable con nosotros en este Trekking de un día en el Valle de Cocora ? Reserva ya esta actividad. Precios y Descuentos Si reservas para 1 persona el precio por persona será de $428.000 Si reservas para 2 persona el precio por persona será de $263.000 Si reservas para 3 persona el precio por persona será de $214.000 Si reservas para 4 o 5 persona el precio por persona será de $182.000 Si reservas para 6 o 7 persona el precio por persona será de $166.000 Si reservas para 8, 9 o 10 persona el precio por persona será de $156.000 Los descuento para grupos se aplicarán de manera automática una vez elijas la fecha, selecciones el número de personas y hagas click en el botón “RESERVAR”."
Valle de Cocora,"Senderismo en La Carbonera, Quindío desde Salento",$247.000,"En esta actividad conocerás el bosque de palmas en La Carbonera , también conocida como el Santuario de Palmas , en donde encontrarás hasta 600 veces más Palmas de Cera que en el Valle de Cocora . Además, realizarás un recorrido por uno de los Caminos Nacionales que en su origen era denominado el camino de los indios y es reconocido como un camino real. Durante esta actividad aprenderás cuál ha sido la transformación que ha tenido la zona luego de superar el conflicto armado , específicamente en lo relacionado con la conservación que hacen las comunidades de la zona, lo cual tiene un c omponente ambiental de gran importancia. La actividad es ideal para personas que desean realizar montañismo por primera vez, ya que tiene una dificultad moderada. Entre los lugares más destacados que conocerás durante el recorrido tenemos: Los bosque de Palmas de Cera. La Reserva natural La Carbonera. La Finca tradicional de campesinos Las Cruces . Entre Otros. ¿Qué esperas para vivir esta experiencia única? Reserva ya esta actividad. Precios y Descuentos Si reservas para 1 persona el precio por persona será de $685.000 Si reservas para 2 persona el precio por persona será de $407.000 Si reservas para 3 persona el precio por persona será de $299.900 Si reservas para 4 o más persona el precio por persona será de $247.000 Los descuento para grupos se aplicarán de manera automática una vez elijas la fecha, selecciones el número de personas y hagas click en el botón “RESERVAR”."
Valle de Cocora,Senderismo de Un Día en el Valle de Cocora + Tour del Café,$330.000,"Abre tus sentidos y conéctate con la esencia de la cultura cafetera con esta Senderismo de Un Día en el Valle de Cocora + Tour del Café, saliendo desde Salento. Esta es una actividad ideal para los viajeros apasionados de la montaña y el senderismo pues tendrán la oportunidad de caminar por los paisajes andinos y conocer la riqueza natural que convierten al Valle de Cocora en uno de los sitios turísticos más visitados del departamento del Quindío. Además, es una excelente alternativa para aquellos que quieren c onocer de cerca la cultura cafetera y las diferentes etapas de cultivo del café. ¿Qué harás durante tu visita al Valle de Cocora? Caminaras entre los bosques de niebla y las imponentes Palmas de Cera del Valle de Cocora. Conocerás el Mirador de la Montaña y su increíble vista. Avistarás el Cerro Morrogacho (si las condiciones climáticas lo permiten). Visitarás una finca cafetera y aprenderás sobre las diferentes etapas del proceso de producción del Café . Viajarás en Jeep Willys ; el vehículo tradicional de esta región. ¿Te suena bien? Si es así, reserva ya tu Excursión de 1 día al Valle de Cocora saliendo desde Salento y descubre todas los secretos que este paraíso natural tiene para ti. Precios y Descuentos Si reservas para 2 o más persona el precio por persona será de $330.000 Los descuento para grupos se aplicarán de manera automática una vez elijas la fecha, selecciones el número de personas y hagas click en el botón “RESERVAR”."
Valle de Cocora,Trekking de 3 días al Paramillo del Quindío desde Salento,$760.000,"Este Trekking de 3 días al Paramillo del Quindío desde Salento en el que intentaremos llegar a los 4.750 msnm de la cima de esta montaña también conocida como el Nevado del Quindío , es una actividad que estará cargada de emociones y en la cuál, pondrás a prueba tus limites físicos y mentales. Pero más allá de eso, es una experiencia que te recompensará con los increíbles recuerdos que te llevarás del particular paisaje rocoso y arenoso de esta montaña que ha perdido su masa glaciar como consecuencia del efecto invernadero. Serán tres días de aventura en los que caminarás por las zonas pantanosas del Paramillo del Quindío, conocerás los verdes brillantes de su vegetación y compartirás momentos enriquecedores con familias campesinas de la zona. Durante la actividad, tendrás la oportunidad de conocer, entre muchas otras cosas… El Ecosistema de Páramo con su riqueza natural. El Cerro la Virgen y La Laguna La Virgen, situados a 3.800 msnm. La Cumbre del Paramillo del Quindío que se ubica a una altura de 4.750 msnm. El Valle de Cocora con sus imponentes palmas de cera y sus bosques de niebla. Y mucho más… ¿Te animas a vivir tres días de aventura con nosotros en este Trekking al Paramillo del Quindío saliendo desde Salento? Precios y Descuentos Si reservas para 1 persona el precio por persona será de COP $1’595.000 Si reservas para 2 persona el precio por persona será de COP $963.000 Si reservas para 3 a 6 persona el precio por persona será de COP $803.000 Si reservas para 7 u 8 persona el precio por persona será de COP $760.000 Los descuento para grupos se aplicarán de manera automática una vez elijas la fecha, selecciones el número de personas y hagas click en el botón “RESERVAR”."
Valle de Cocora,Excursión a Salento y Valle de Cocora desde la ciudad de Pereira.,$200.000,"Conoce el bosque de Palma de Cera del Valle de Cocora y el municipio de Salento en esta excursión de 1 día saliendo desde la ciudad de Pereira. Disfrutarás en un día rodeado de naturaleza en uno de los municipios mas bonitos del Eje Cafetero, Salento. Algunos de los lugares que visitarás son: Parque Principal. Calle Real. Mirador del municipio. En el Valle de Cocora realizaras una caminata por un sendero en la que podrás disfrutar del árbol nacional colombiano, La Palma de Cera. Estarás siempre acompañado por un guía. No te quedes sin conocer dos lugares emblemáticos del Eje Cafetero. Reserva tu cupo ya. Precios y Descuentos Si reservas para 2 personas el costo por persona será de COP $330.000. Si reservas para 3 personas el costo por persona será de COP $300.000 Si reservas para 4 personas el costo por persona será de COP $260.000 Si reservas para 5 o más personas el costo por persona será de COP $230.000 Los descuentos se aplicarán de manera automática una vez elijas la fecha, selecciones el número de personas y hagas click en el botón “RESERVAR”."
Valle de Cocora,Excursión a Salento y Valle de Cocora desde Salento,$200.000,"Conoce el bosque de Palma de Cera del Valle de Cocora y el municipio de Salento en esta excursión de 1 día saliendo desde Salento. Disfrutarás en un día rodeado de naturaleza en uno de los municipios mas bonitos del Eje Cafetero, Salento. Algunos de los lugares que visitarás son: Parque Principal. Calle Real. Mirador del municipio. En el Valle de Cocora realizaras una caminata por un sendero en la que podrás disfrutar del árbol nacional colombiano, La Palma de Cera. Estarás siempre acompañado por un guía. No te quedes sin conocer dos lugares emblemáticos del Eje Cafetero. Reserva tu cupo ya. Precios y Descuentos Si reservas para 2 personas el costo por persona será de COP $300.000. Si reservas para 3 personas el costo por persona será de COP $260.000 Si reservas para 4 personas el costo por persona será de COP $210.000 Si reservas para 5 o más personas el costo por persona será de COP $200.000 Los descuentos se aplicarán de manera automática una vez elijas la fecha, selecciones el número de personas y hagas click en el botón “RESERVAR”."
Valle de Cocora,"Tour privado por Salento, Valle de Cocora y Filandia",$789.000,"Conoce Salento, Valle de Cocora y Filandia, tres lugares principales para visitar en el Eje Cafetero, con este recorrido privado desde la ciudad de Pereira. En el Valle de Cocora estarás rodeado de un paisaje en el que se destaca la Palma de Cera, Árbol Nacional colombiano. Tendrás la opción de tomar fotografías para el recuerdo. En Salento caminarás por sus principales calles las cuales se caracterizan por lo colorido que son las fachadas de las casas, por las innumerables tiendas de artesanías y espacios especiales para parar y disfrutar de un buen café. En Filandia visitarás el mirador desde donde podrás observar desde un punto privilegiado el paisaje del Eje Cafetero y entenderás por qué es considerado como patrimonio cultural por la UNESCO. ¿Qué esperas para vivir un día inolvidable junto a tu familia o amigos? Reserva tu cupo con nosotros ya. Precios y descuentos. El precio por persona para 2 personas es de COP $789.000"
Valle de Cocora,"Tour grupal por Salento, Valle de Cocora y Filandia",$578.000,"Conoce Salento, Valle de Cocora y Filandia, tres lugares principales para visitar en el Eje Cafetero, con este recorrido privado desde la ciudad de Pereira. En el Valle de Cocora estarás rodeado de un paisaje en el que se destaca la Palma de Cera, Árbol Nacional colombiano. Tendrás la opción de tomar fotografías para el recuerdo. En Salento caminarás por sus principales calles las cuales se caracterizan por lo colorido que son las fachadas de las casas, por las innumerables tiendas de artesanías y espacios especiales para parar y disfrutar de un buen café. En Filandia visitarás el mirador desde donde podrás observar desde un punto privilegiado el paisaje del Eje Cafetero y entenderás por qué es considerado como patrimonio cultural por la UNESCO. ¿Qué esperas para vivir un día inolvidable junto a tu familia o amigos? Reserva tu cupo con nosotros ya. Precios y descuentos. El precio por persona para grupos de 2 personas es de COP $578.000."
Valle de Cocora,Walking Tour Económico por Salento y Valle de Cocora – COMPARTIDO,$283.000,"Acompáñanos a descubrir Salento y el Valle de Cocora con este walking tour de un día donde visitarás los sitios más emblemáticos y representativos de esta hermosa y pintoresca zona del Quindío. Nos reuniremos a las 9:00 horas en la Plaza principal, siendo las escalera de la iglesia nuestro punto de encuentro en pleno centro de Salento, en donde nos trasladamos a los jeeps para ir rumbo hacia el valle de Cocora. Durante el trayecto, disfrutaremos de gigantescas y antiguas Palmas se alzan majestuosas hacia el cielo, por encima de las nieblas que cubren en mañana y tarde el lugar. Durante el recorrido nos detendremos en los miradores para contemplar una panorámica excepcional del Parque Nacional de los Nevados, observaremos la gran cantidad de palmas de cera, siendo este nuestro árbol nacional, allí les contaremos varias curiosidades sobre esta planta! Además, mientras recorremos, prestaremos especial atención a las flores que nos rodean y a las aves que sobrevuelan la zona. El destino del trek es un impactante mirador hacia el Valle, abierto en su paisaje, en medio de centenarias Palmas de Cera y enfrente de las montañas sagradas. Regresamos a Salento donde vamos a tener nuestro almuerzo típico, seguido de un recorrido por el pueblo para conocer su historia “como padre del departamento del Quindío”. Disfrutraremos de un tour por el casco histórico de la ciudad. Sus coloridas fachadas y sus balcones llenos de flores se han convertido en una representación de identidad de este municipio. Además, hablaremos sobre el origen de Salento y sus episodios históricos más importantes. Nos despediremos a las 15:30 horas aproximadamente en el centro de Salento La actividad es ideal para hacerla acompañado de amigos, familia o en pareja , contarás con la compañía de un guía experto que te compartirá todos los secretos e historias más importantes de Salento y el Valle de Cocora. ¿Qué incluye el Tour? Acompañamiento del guía Interpretación histórica y ambiental Transporte en Jeep Willis desde Salento hacia el valle del Cocora Entradas al Bosque de Palmas Almuerzo típico de la región. Seguro de Asistencia ¿Qué esperas para conocer estos característicos lugares del departamento del Quindío en compañía de tu familia, amigos o pareja? Reserva tu cupo con nosotros ya. Precios y descuentos. El precio por persona para grupos de 2 personas es de COP $283.000."
Gambita,"Pasadía a la Cascada Los Aviones en Gámbita, Santander",$90.000,"¡A través de Triviantes puedes reservar un paquete turístico para conocer la impresionante Cascada Los Aviones en el departamento de Santander, Colombia! Esta cascada tiene forma de escalera y está rodeada de paisajes naturales que pueden ser explorados en un recorrido ecológico de alrededor de una hora. Además, podrás admirar el panorama y disfrutar de un refrescante baño en sus aguas medicinales. Adicionalmente, contarás con un guía turístico experto que te acompañará durante todo el recorrido y te brindará información valiosa sobre la cascada y los paisajes naturales que la rodean. También disfrutarás de un delicioso almuerzo típico de la región , el cual está incluido en el paquete turístico. ¡ No te pierdas la oportunidad de conocer la Cascada Los Aviones y disfrutar de una experiencia única en la naturaleza! E sta es una imponente caída de agua en forma de escalera que se encuentra rodeada de paisajes naturales, a través de los cuales realizarás un recorrido ecológico de aproximadamente una hora. Admira el panorama y toma un delicioso baño en sus aguas medicinales, realmente reconfortantes. Puedes realizar tu reservación en cualquier fecha, este paquete cuenta con capacidad para grupos, parejas y más ¿Qué esperas para conocer esta cascada? ¿Qué esperas para conocer la Cascada los Aviones ? Separa tu cupo haciendo clic en el botón “reservar” y disfruta de esta experiencia. Nota : El acceso para llegar a la cascada es por medio de una vía destapada (Trocha). Precios. El precio por persona sin Transporte es de $65.000 pesos colombianos. El precio por persona con transporte en Vehículo 4×4 es de $ 90.000 pesos colombianos."
Gambita,"Pasadía en la Cueva del Chocó y Cascada El Bastón, Santander",$90.000,"¡Prepárate para adentrarme en las profundidades de la Cueva del Chocó y sumergirte en las aguas de la Cascada El Bastón ! La Cueva del Chocó forma parte del patrimonio natural de Gambita y es una impresionante caverna conformada por dos salas y un increíble pozo para sumergirte . Con una altura de 20 metros y una profundidad de más de 200 metros , la Cueva del Chocó te ofrece una oportunidad perfecta para apreciar las magníficas estalactitas y estalagmitas durante tu visita. Estas son formaciones verticales de la cueva y parten del techo hacia el suelo y viceversa , se han producido en la superficie rocosa por el depósito de minerales que ha ocasionado el paso continuo del agua durante cientos de años en el interior de esta cueva. ¡INCREÍBLE! Además, déjate impresionar por las curiosas aguas de color amarillo y aprovecha la oportunidad para sumergirte en ellas , ya que se cree que poseen propiedades curativas. También visitarás la imponente Cascada El Bastón , con aproximadamente 16 metros de alto. ¿Sabías que la Cueva del Chocó fue habitada antiguamente por los indios Chachaneguas ? Descubrirás todos los secretos de estos antepasados reservando ahora mismo y adentrándote en las profundidades de la cueva del Chocó. El paquete está disponible para grupos, parejas y familias. Esta aventura es una oportunidad única para disfrutar de la hermosa naturaleza de Santander. ¡ No esperes más para reservar y disfrutar de un día lleno de diversión y aventura con familiares y amigos en la hermosa naturaleza de Santander ! Precios. El precio por persona es de $60.000 pesos colombianos. El precio por persona con transporte 4×4 desde Gambita es de $90.000 pesos colombianos."
