destino	pais	actividad	precio	moneda	rating	viajeros	descripcion	operador	email	telefono	direccion	url_actividad	fecha_scan													
Chía	Colombia	Excursión a la Catedral de Sal de Zipaquirá + Andrés Carne de Res en Chía	260.000	COP	121 opiniones	1.633	En esta excursión desde Bogotá iremos hasta la Catedral de Sal de Zipaquirá. Tras visitar este famoso templo iremos a Chía, donde tendréis reservada una mesa en el restaurante Andrés Carne de Res para que podáis comer por vuestra cuenta. || || Itinerario || || Os recogeremos a la hora indicada en vuestro hotel de Bogotá y nos desplazaremos rumbo norte hasta la Catedral de Sal de Zipaquirá, uno de los lugares más visitados de Colombia. || || Realizaremos una visita guiada por este templo tan especial, que se halla construido dentro de una mina salina a 180 metros de profundidad. Durante el recorrido, de aproximadamente dos horas, veremos un impresionante altar tallado en sal. También contemplaremos las esculturas de las estaciones del Vía Crucis, que narra la pasión y crucifixión de Jesús. || || Tras la visita por la Catedral de Sal, tendréis 40 minutos de tiempo libre para adquirir algún recuerdo en la zona comercial situada en el exterior del templo. A continuación, dejaremos atrás la localidad de Zipaquirá y nos desplazaremos al cercano municipio de Chía, donde se encuentra el afamado restaurante Andrés Carne de Res. || || En este establecimiento tendréis una mesa reservada. Mientras os deleitáis con un delicioso almuerzo, que correrá por vuestra cuenta, disfrutaréis de un animado ambiente de música en vivo. Merengue, salsa, bachata… ¡Podréis bailar al son de los principales ritmos latinos! || || Después de comer, regresaremos finalmente a Bogotá. La llegada a vuestro hotel está prevista 10 horas después de la recogida. || || Entrada a la Catedral de Sal de Zipaquirá || || Si lo deseáis, podréis reservar el tour sin entrada a la Catedral de Sal. En este caso, deberéis adquirir las entradas por vuestra cuenta. || || Recogida || || Esta excursión incluye la recogida en los hoteles situados en el barrio de Chapinero. Si estáis alojados en otras zonas de Bogotá, os informaremos durante el proceso de reserva si podemos recogeros en vuestro hotel, o en un punto de encuentro alternativo que podréis elegir al reservar.	Vamos Con Nathy	nathaly.paez.tec@gmail.com	3143804447	A COLOMBIA CON NATHY SAS | CL 36 NO. 19 03 SUR, Bogotá, Colombia	https://www.civitatis.com/es/bogota/catedral-sal-zipaquira-andres-carne-res/	05-02-2026													
Bogotá	Colombia	Tour de la cultura colombiana	125.000	COP	147 opiniones	1.573	Lánzate a las calles de La Candelaria para descubrir la más pura cultura colombiana con este tour. Descubrirás su historia, sus sabores, sus olores y por supuesto, sus deportes. || || Itinerario || || A la hora que seleccionéis, nos encontraremos frente al Hostal The Cranky Croc de Bogotá para comenzar un tour a pie de tres horas por el barrio La Candelaria. ¿Estáis preparados para descubir la esencia de la cultura colombiana? || || Comenzaremos la visita guiada conociendo a fondo la historia de la capital, recorriendo los principales puntos de interés de esta zona de Bogotá y adentrándonos en sus mercados tradicionales. En ellos aprenderemos acerca de la gastronomía de Colombia. || || Por ejemplo, ¿cuál es la bebida más típica del país? ¡La chicha! Tranquilos si no sabéis lo que es, ya que durante el tour tendréis la suerte de probarla. Tal es su importancia que los colombianos la consideran parte de su patrimonio indígena. Además, la acompañaremos con arepas o buñuelos. ¡Delicioso! || || Para terminar de descubrir la cultura colombiana, visitaremos un local de tejo, el deporte más famoso entre los colombianos. ¿Queréis aprender a jugar? ¡Esta es vuestra oportunidad! || || Despues de la partida de tejo finalizaremos el tour en el café Casa Magola de Bogotá.	The True Colombian Experience	thetruecolombianexperience@gmail.com	5,73146E+11	The Colombia Tour SAS | calle 12d #3-46, bogota dc, Colombia	https://www.civitatis.com/es/bogota/tour-cultura-colombiana/	04-02-2026													
Pereira	Colombia	Excursión a Filandia, Salento y Valle de Cocora	576.000	COP	168 opiniones	1.538	Adentraos en la región cafetera de Colombia para explorar Filandia y Salento. Además, preparad la mochila para pasear por el Valle de Cocora, un paraíso natural con mucho verde. Un día y tres lugares especiales por descubrir. || || Itinerario || || Después de pasar a buscaros por vuestro hotel, saldremos de Pereira para hacer un trayecto de unos cincuenta minutos por el Eje Cafetero colombiano. || || Nuestro primer destino será el Valle De Cocora. ¿Conocéis el “secreto de los mil verdes”? En este paraíso natural caminaremos entre vegetación de hasta mil tonalidades del color, y descubriremos la historia de la princesa Cocora. || || Para aprender todo sobre la Palma de Cera, nos dirigiremos a tres miradores diferentes para admirar la belleza típica del paisaje y todas sus curiosidades. || || Disfrutaremos de un almuerzo, y con el estómago lleno, volveremos a la carretera para dirigirnos a Salento, un pueblo de estilo antioqueño que nos sorprenderá con sus animadas calles y sus coloridas fachadas. Nos perderemos entre sus casas, y rodeados de balcones paisas repletos de macetas llegaremos a la Calle real, el corazón de la localidad. || || Seguiremos paseando, y nos encontraremos con el Camino del Quindío, la que fuera ruta tradicional entre Cartago e Ibagué. ¿Sabíais que incluso se celebra el Festival Camino del Quindío? Los habitantes del pueblo vecino de Filandia se convierten durante días en personajes históricos, patriotas y españoles para revivir los días más activos del camino. ¡Toda una tradición! || || ¿Sabéis desde dónde veremos la mejor panorámica de Salento? Desde el Mirador del Alto de la Cruz. Locales y visitantes se unen allí para ver desde arriba uno de los pueblos más pintorescos del Eje Cafetero colombiano. || || Después, nos detendremos en la pequeña localidad de La Colina Iluminada, un lugar encantador para disfrutar de las vistas del departamento de Quindío. Tras esta breve parada, pondremos rumbo a Filandia, donde realizaremos una completa visita guiada de dos horas para descubrir todos los encantos de la localidad. || || Caminaremos por las calles de Filandia admirando sus casas y tiendas locales, y llegaremos a la calle del Tiempo Detenido. Visitaremos el Parque Central, uno de los puntos más bulliciosos de esta localidad, hogar de cultivadores de café por excelencia. Desde aquí admiraremos el emblemático Templo María Inmaculada, cuyo frontal azul y blanco conquistará vuestro corazón. Además, aprenderemos el trabajo de la cestería y visitaremos el Museo de los Abuelos. || || Finalmente, regresaremos a Pereira. Allí os acompañaremos a vuestro alojamiento para acabar la excursión tras 9 horas de recorrido. || || Importante || || Tened en cuenta que la hora de inicio está sujeta a cambios por requerimientos logísticos, el tráfico o las distancia entre los diferentes hoteles.	Escuela Aves De Salento	escuelaavesdesalento@gmail.com	+57 3108337003	ESCUELA AVES SALENTO S.A.S. | CRA 14 22 09 TORRE COFINCAFE P4, Armenia, Colombia	https://www.civitatis.com/es/pereira/excursion-salento-valle-cocora/	04-02-2026													
San Andrés	Colombia	Tour en chiva rumbera por San Andrés	42.500	COP	47 opiniones	1.447	Un día y San Andrés por descubrir. En este tour podremos explorar los lugares más especiales de la isla en chiva rumbera mientras descubrimos su apasionante historia en un ambiente festivo. || || Itinerario || || A la hora que escojáis nos encontraremos en el Hotel Sol Caribe Seaflower para subir a una chiva rumbera, un colorido autobús típico colombiano que nos llevará a recorrer la isla de San Andrés de una manera diferente: ¡en modo fiesta! || || A bordo de la chiva, disfrutaremos de los paisajes de San Andrés, mientras la música caribeña nos acompaña de fondo. Avanzaremos hacia la Casa Museo Isleña, una institución dedicada a la cultura y las costumbres de los ciudadanos locales. ¡Aprenderemos todo sobre esta región del Caribe colombiano! || || Después, nos acercaremos en chiva hasta el Museo The Persistence y la piscina West View para disfrutar de este parque ecológico y de su fantástica piscina natural. ¡Os encantará daros un chapuzón en sus cálidas aguas! || || ¿Siguiente parada? ¡Hoyo Soplador! Aquí, tendréis la oportunidad de escuchar las fuertes arremetidas del mar contra la roca de los acantilados. En días de marea alta, incluso podréis ver el agua salir por los agujeros en el suelo. || || Después de una maravillosa jornada recorriendo San Andrés en chiva rumbera, os llevaremos de regreso al punto de encuentro, donde daremos por finalizada la actividad tras 4 horas de recorrido. || || Cambios en el itinerario || || Si realizáis el tour por la mañana, el itinerario sufrirá ligeras variaciones. Visitaremos la Casa Museo Isleña, el Hoyo Soplador, la piscina West View y, en lugar de ir a The Persistence, conoceremos la cueva Morgan, donde descubriremos la historia del pirata que le da nombre.	Transportes Turisticos Suarez Osorio	reservasuarezosorio@gmail.com	3106137561	Construcciones Civiles Metálicas Suarez SAS | AV CINCUNVALAR KM 5 CA MUSEO, SAN ANDRES ISLA, COLOMBIA, Colombia	https://www.civitatis.com/es/san-andres/tour-chiva-san-andres/	04-02-2026													
Medellín	Colombia	Vuelo en parapente por Medellín	490.000	COP	50 opiniones	1.444	Disfrutad de unas excelentes panorámicas de Medellín en este vuelo en parapente que os permitirá contemplar la ciudad a vista de pájaro. ¡Una experiencia inolvidable! || || ¿Por qué volar en parapente por Medellín? || || Tras recogeros en vuestro hotel de Medellín a a hora indicada, nos dirigiremos a San Félix, una zona montañosa situada en las afueras de la ciudad donde el instructor os dará unas las pautas básicas de seguridad sobre el manejo de los parapentes. || || Después de estas explicaciones, nos colocaremos el casco y las protecciones en codos y rodillas y... ¡A volar! Acompañados en todo momento por el guía, volaremos en parapente sobre Medellín durante unos 15 minutos que nos permitirán apreciar una magnífica panorámica de la ciudad a vista de pájaro. || || ¿Lo mejor de todo? Podréis inmortalizar vosotros mismos esta fantástica experiencia con una Go Pro 7 con 4k HD Vídeo y 12MP de fotos que os prestaremos durante la actividad. Al finalizar el vuelo, os mandaremos las instantáneas y los vídeos por archivo IOS o Android. || || Al terminar el vuelo sobre la ciudad, regresaremos a vuestro hotel de Medellín tres horas más tarde. || || ¿Se necesitan conocimientos previos? || || No hace falta tener nociones previas en el manejo de parapentes. Nuestros guías instructores os enseñarán las pautas básicas y os acompañarán durante el vuelo para que no tengáis que preocuparos de nada. || || Menores de 12 años || || Los menores de 12 años podrán realizar la actividad siempre y cuando estén acompañados de uno de sus padres o, en su defecto, cuente con un permiso escrito de los mismos.	Discovering Medellin	info@discoveringmedellin.com	+57 3016694222	DISCOVERING MEDELLIN SAS | calle 18 a sur 38-350, Condado de Maracay, Medellín, Colombia	https://www.civitatis.com/es/medellin/vuelo-parapente/	04-02-2026													
Chía	Colombia	Excursión a los cafetales colombianos	565.000	COP	149 opiniones	1.321	Descubrid la magia que encierran los cafetales colombianos en una excursión que os dará la oportunidad de ser agricultores por un día. Recogeréis los granos y seleccionaréis los mejores para preparar una deliciosa taza de la bebida más famosa del mundo. || || Itinerario || || Nos encontraremos a la hora indicada en el Hostal The Cranky Croc para subir al autobús que nos llevará hacia las montañas de Bogotá. Por el camino, podremos ver el barrio de Choachí, que atravesaremos para llegar a nuestro destino: una finca de café ecológico. ¡Qué emocionante! || || Tras una hora y media de viaje, llegaremos a los cafetales colombianos, donde los agricultores nos contarán su experiencia y nos explicarán cómo se hace la recolecta de granos de café. ¿Estáis listos para poneros manos a la obra? || || Pero antes de empezar, disfrutaremos de un desayuno tradicional colombiano hecho por los campesinos. Ahora sí, con las pilas cargadas, pasearemos entre las más de 8000 plantas de café que posee la finca mientras vamos recogiendo los granos que estén maduros. || || Una vez terminemos esta tarea, volveremos a la casa para iniciar el proceso. Los pasaremos por una máquina para limpiarlos, los seleccionaremos y, finalmente, probaremos una taza de café preparada de una forma verdaderamente especial. ¡Absolutamente delicioso! || || Antes de regresar a Bogotá, disfrutaremos de un almuerzo casero y, finalmente, nos despediremos en el punto de partida en Bogotá tras un total de entre ocho horas y media y nueve horas de excursión.	The True Colombian Experience	thetruecolombianexperience@gmail.com	5,73146E+11	The Colombia Tour SAS | calle 12d #3-46, bogota dc, Colombia	https://www.civitatis.com/es/bogota/tour-cafe-colombiano/	05-02-2026													
Cartagena de Indias	Colombia	Tour del plancton luminoso + Club de playa en Barú	273.000	COP	58 opiniones	1.282	Tendremos la oportunidad de bañarnos en las cálidas aguas del Caribe mientras unos microorganismos se iluminan a nuestro paso en este tour del del plancton luminoso en Cartagena de Indias. Además, ¡disfrutaréis de un exclusivo club de playa en Barú! || || Itinerario || || A la hora indicada, os recogeremos en vuestro hotel de Bocagrande y, seguidamente, viajaremos hasta las playas de Barú. || || Allí disfrutaréis de un exclusivo club de playa, donde os deleitaréis con un rico almuerzo y podréis disfrutar de sus paradisíacos paisajes caribeños. ¡Os cautivarán para siempre! || || Al caer la tarde, veremos un maravilloso atardecer y luego nos acercaremos hasta la zona donde se encuentra el plancton luminoso. Veréis cómo los microorganismos potencian su luz azul con el movimiento del agua. Es necesario tener en cuenta que hay factores como la luminosidad de luna llena que pueden limitar la visibilidad del brillo de estos organismos. || || Este espectáculo mágico y fluorescente crea un ambiente galáctico que se os quedará grabado en las retinas para siempre. ¡Podréis daros un baño en el plancton luminoso! || || Finalmente, emprenderemos el regreso a Cartagena de Indias. La llegada a vuestro hotel está prevista entre 12 y 13 horas después de la recogida. || || Recogida || || El tour sólo incluye la recogida en esta zona turística de Cartagena de Indias: Bocagrande. Si estáis alojados en otros puntos, nos reuniremos a la hora indicada en el Muelle de los Pegasos.	Vivamos Colombia Travel	pavapaola@gmail.com	+57 3142839340	VIVAMOS COLOMBIA DMC SAS | MZ H PRIMA LT 11 BRR VILLAGRANDE DE LAS INDIAS, Cartagena, Colombia	https://www.civitatis.com/es/cartagena-de-indias/tour-plancton-luminoso/	04-02-2026													
Medellín	Colombia	Excursión a Guatapé en chiva + Visita a la hacienda La Manuela	199.000	COP	79 opiniones	1.212	¿Queréis conocer uno de los pueblos más bonitos de Colombia? En esta excursión desde Medellín iremos hasta Guatapé en chiva, un autobús típico de la zona. Además, nos desplazaremos en barco hasta La Manuela, una famosa finca del narcotraficante Pablo Escobar. || || Itinerario || || Nos reuniremos a la hora indicada en la calle 9, junto al parque de El Poblado, y desde este punto de Medellín nos desplazaremos rumbo este a bordo de una tradicional chiva, un autobús típico de Colombia. || || Mientras viajamos en este medio de transporte tan singular, disfrutaremos de una degustación de tres productos colombianos. Para comenzar de la mejor manera posible, visitaremos la Granja Alto del Chocho, donde conoceremos de cerca animales como alpacas, llamas, cerdos o caballos. || || Después, alcanzaremos Guatapé, uno de los pueblos más bonitos de Antioquia. La primera parada tendrá lugar en la Piedra del Peñol, una gigantesca roca donde podréis subir sus 740 escaleras. Al llegar a la cima, disfrutaréis de unas magníficas vistas del embalse del Peñol-Guatapé. || || Nos dirigiremos a continuación al centro histórico de Guatapé, donde recorreremos sus pintorescas y coloridas calles. Una de ellas se encuentra cubierta por paraguas, y se caracteriza por ser uno de los lugares de Colombia más populares en Instagram. Podéis aprovechar para tomar fotos, que serán todo un éxito en vuestras redes sociales. || || Tras la visita por el pueblo, nos dirigiremos a un restaurante del muelle para disfrutar de un completo almuerzo paisa. A continuación, emprenderemos un paseo en barco por el embalse de Guatapé. Esta travesía nos llevará hasta la finca La Manuela, una antigua hacienda que fue propiedad del famoso narcotraficante Pablo Escobar. || || Al llegar a la finca, realizaremos una visita guiada por los restos de La Manuela. Tras conocer algunos secretos sobre Pablo Escobar, tendréis en torno a una hora libre para realizar por vuestra cuenta alguna actividad en la hacienda. Podéis optar por practicar paintball o alquilar una moto de agua o un quad. || || Finalmente, desde la hacienda volveremos en barco hasta Guatapé, donde nos estará esperando la chiva que nos llevará de regreso al punto de encuentro en Medellín. La excursión, que tendrá una duración de entre 10 y 11 horas, concluirá en este lugar.	Aeroturex S.a.s	dircomercial@aeroturex.com	+57 317 4360789	AEROTUREX S.A.S | Calle 9 Nº41-66 Interior 202, Medellín, Colombia	https://www.civitatis.com/es/medellin/excursion-guatape-chiva-hacienda-manuela/	04-02-2026													
Sesquilé	Colombia	Entrada a la Catedral de Sal de Zipaquirá	70.000	COP	61 opiniones	1.198	Con esta entrada a la Catedral de Sal de Zipaquirá tendréis la oportunidad de visitar uno de los templos subterráneos más especiales de Colombia. ¡Os sorprenderá su insólita arquitectura! || || ¿Por qué visitar la Catedral de Sal? || || La Catedral de Sal de Zipaquirá es uno de los lugares más especiales de Colombia. ¿Queréis visitarla? Con esta entrada dispondréis de una audioguía que os ayudará a conocer todos los detalles de este templo construido en el interior de una mina salina. || || Durante vuestro recorrido por libre por esta seo única en el mundo, descubriréis puntos tan destacados como el Coro, el Viacrucis o los Espejos de Agua. Además, veréis un cortometraje en 3D y un show de luces que os mostrará la mitología de los indígenas muiscas. || || Y no solo eso, sino que también realizaréis la Ruta del Minero, una experiencia de entre 30 minutos y una hora en la que un guía especializado os contará los secretos de la Catedral de Sal de Zipaquirá. En este paseo veréis formaciones geológicas de lo más singulares, como la Cascada de Sal o el Arcángel Custodio. || || Visita con guía + Museos || || A la hora de reservar, podréis escoger la modalidad que incluye un guía en español durante toda la visita a la Catedral de Sal de Zipaquirá. Además de disfrutar de los comentarios de un experto en la historia del lugar, accederemos al Museo de la Salmuera, al Museo de Tutankamón y al Museo Arqueológico. || || Esta modalidad tiene una duración aproximada de 5 horas. || || Horarios || || La Catedral de Sal de Zipaquirá abre todos los días del año desde las 9:00 hasta las 18:00 horas. El último acceso será a las 17:45 horas.	Catedral De Sal De Zipaquirá	luis.gomez@catedraldesal.gov.co		Catedral de Sal de Zipaquirá SAS SEM | Carrera 6 Calle 1, Zipaquirá, Colombia	https://www.civitatis.com/es/zipaquira/entrada-catedral-sal-zipaquira/	04-02-2026													
Chía	Colombia	Tour de los fantasmas de Bogotá	38.350	COP	51 opiniones	1.156	Las calles de la capital colombiana ocultan grandes secretos. Descubriremos sus principales enigmas en este tour de los fantasmas de Bogotá, donde nos encontraremos con siniestros personajes de otras épocas. || || Itinerario || || Cae la noche sobre la capital colombiana, el momento perfecto para conocer los secretos mejor guardados de la ciudad. Para descubrir sus enigmas más singulares, nos reuniremos a la hora indicada en NATIVA Arte y Comida Natural??, donde daremos comienzo a este tour de los fantasmas de Bogotá y entraremos en calor con una bebida caliente. || || Realizaremos esta ruta con un guía local. ¡Pero cuidado, pues no será el único acompañante! Echad un ojo de vez en cuando a vuestras espaldas. A lo largo del recorrido a pie, aparecerán sin previo aviso unos siniestros personajes de época que, si no prestáis atención, os darán un buen susto. ¡Estáis avisados! || || Mientras esperamos la llegada de estos personajes, recorreremos el barrio de La Candelaria para descubrir sus más escalofriantes misterios y leyendas. Pasaremos por lugares como el restaurante La Bruja, lugar de antiguos calabozos para escuchar su historia. Estas historias estarán relacionadas con fantasmas y asesinos de todo tipo. Uno de los relatos más sorprendentes es el de la Revuelta Comunera de Colombia, que originó una gran masacre. || || Finalmente, nos acercaremos al Patio del Terror y concluiremos el tour en la Casona Magola, una casa colonial del barrio de La Candelaria, tras dos horas.	Ae Colombiatravel	adventurextremecolombia@gmail.com	5,73058E+11	ADVENTURE EXTREME COLOMBIA SAS | Carrera 3 #21-86, Bogotá, Colombia	https://www.civitatis.com/es/bogota/tour-misterios-leyendas-bogota/	05-02-2026													
Barranquilla	Colombia	Traslados en Barranquilla	33.001	COP	41 opiniones	1.138	N/A	No especificado / Único	N/A	N/A	N/A	https://www.civitatis.com/es/barranquilla/traslados/	04-02-2026													
Santa Marta	Colombia	Paseo en velero por Bahía Concha	236.000	COP	65 opiniones	1.109	Con este paseo en velero por Bahía Concha navegaréis por las aguas del Caribe colombiano. Disfrutaréis de hermosos paisajes y podréis hacer snorkel en las costas de Santa Marta. ¡Bienvenidos al Parque Tayrona! ¿A qué estáis esperando? || || Itinerario || || Nos encontraremos a la hora indicada en la Marina de Santa Marta para subir a un velero que nos llevará hasta Bahía Concha, en el Parque Tayrona. ¡Vamos allá! || || Una vez estemos todos a bordo, realizaremos una travesía de una hora y media hasta nuestro destino. En el camino, disfrutaremos del paisaje costero bañado por el mar Caribe. ¿No os parece estar navegando por el mismísimo paraíso? || || Cuando lleguemos a Bahía Concha, tendréis una hora de tiempo libre para relajaros en la playa. También podréis practicar snorkel y contemplar el fondo marino de esta parte de Colombia. ¡Será toda una aventura! || || Tras el tiempo libre disfrutando de las actividades acuáticas, volveremos a subir al barco para tomar un almuerzo compuesto por pescado asado con ensalada, arroz y patacones. Después de comer iniciaremos el viaje de vuelta. || || Finalizaremos el recorrido regresando de nuevo a la Marina de Santa Marta después de entre seis horas y media y ocho horas. || || Parque Tayrona || || El Parque Tayrona está cerrado en las siguientes fechas: || || Del 1 al 15 de febrero. || Del 1 al 15 de junio, || Del 19 de octubre al 2 de noviembre. || || Durante estas fechas, se visitará otro destino elegido por la capitanía.	Tayrona Sailing	nicolas@nicksbogota.com	3212061691	SONATA MAS S.A.S. | Cra 1b 26A-109 AP 501 ED ALMIRANTE, Santa Marta, Colombia	https://www.civitatis.com/es/santa-marta/paseo-velero-bahia-concha/	04-02-2026													
Cartagena de Indias	Colombia	Excursión al volcán del Totumo y manglares de Cartagena	386.000	COP	43 opiniones	1.071	En esta excursión al volcán del Totumo y manglares de Cartagena de Indias disfrutaremos de dos enclaves naturales del departamento colombiano de Bolívar de lo más espectaculares. || || Itinerario || || Os recogeremos a la hora indicada en vuestro hotel de Cartagena de Indias y pondremos rumbo al volcán del Totumo. Allí, tendréis la oportunidad de daros un relajante baño en el lodo del volcán. ¡Una experiencia única! || || ¿Y qué tiene de especial el lugar? El volcán del Totumo está lleno de lodo, considerado por los nativos como “lodo curativo” debido a sus cualidades terapéuticas. Estas propiedades beneficiosas se deben a su composición de agua, sílice, aluminio, magnesio, azufre, calcio, hierro y más minerales. || || Al entrar al cráter del volcán del Totumo sentiréis la densidad de su lodo tibio y espeso, que os permitirá tonificar vuestra piel. El tiempo máximo para permanecer dentro del lodo es de 15 minutos, ya que no es aconsejable estar más tiempo debido a la temperatura. Tras el baño, podréis retiraros al barro de la ciénaga del Totumo. || || A continuación, tomaremos en la zona un rico almuerzo típico que incluirá distintas especialidades de la región. Después de comer, nos desplazaremos a la zona de La Boquilla para realizar un tour por los manglares de Cartagena. Durante el recorrido, veremos qué especies de fauna y flora habitan en este ecosistema natural tan particular. || || Continuaremos el tour en la ciénaga de la Virgen, donde realizaremos un paseo en canoa para observar los diferentes túneles naturales de manglares. Además, disfrutaremos de una actividad de pesca artesanal con atarraya y visitaremos la isla del Pescador para deleitarnos con una refrescante agua de coco. || || Finalmente, emprenderemos el regreso a Cartagena. La llegada a vuestro hotel está prevista 8 horas después de la recogida. || || Recogida || || Este tour incluye la recogida en los hoteles de las siguientes zonas turísticas: Castillogrande, Bocagrande, El Laguito, Crespo, Marbella, Morros (zona norte) y centro histórico. Si no estáis alojados en estas zonas, podéis dirigiros a la hora indicada al Monumento Torre del Reloj en Boca del Puente.	Vivamos Colombia Travel	pavapaola@gmail.com	+57 3142839340	VIVAMOS COLOMBIA DMC SAS | MZ H PRIMA LT 11 BRR VILLAGRANDE DE LAS INDIAS, Cartagena, Colombia	https://www.civitatis.com/es/cartagena-de-indias/excursion-mar-rosado-volcan-totumo/	04-02-2026													
Tenjo	Colombia	Tarjeta eSIM Civitatis Colombia	17.334,30	COP	26 opiniones	1.065	Si vais a viajar a Colombia, esta tarjeta eSIM con Internet os proporcionará acceso a la red en todo el país cafetero. ¡La mejor manera de chatear y hacer videollamadas con familiares y amigos! || || ¿Cómo funciona? || || Si queréis chatear desde el centro histórico de Cartagena de Indias, hacer una videollamada en la plaza Bolívar de Bogotá o consultar vuestras redes sociales desde las playas de Santa Marta, esta eSIM es la opción ideal. Con esta tarjeta electrónica dispondréis de acceso a Internet en Colombia durante un periodo de entre 7 y 30 días, dependiendo de la modalidad que elijáis. || || De esta manera, podréis enviar fotos desde el embalse de Guatapé o leer las noticias desde las playas de San Andrés. En función de la opción que seleccionéis, los datos de conexión oscilarán entre 1 GB y 5 GB. || || Utilizar esta eSIM es muy fácil. Tras hacer la reserva, sólo tendréis que seguir las instrucciones que os enviaremos a vuestro correo electrónico. ¡Así de sencillo! Una vez hayáis completado los pasos, ya podréis navegar por Internet en Colombia. Además, al ser una tarjeta electrónica, no tendréis que acudir a ningún punto físico para recogerla. || || ¿Qué requisitos son necesarios? || || Sólo necesitáis cumplir dos requisitos: || || Que vuestro móvil sea compatible con la tecnología eSIM. Podéis consultar a continuación un listado de móviles compatibles con la tecnología eSIM. || Que vuestro móvil esté desbloqueado o sea libre. Un teléfono está desbloqueado o es libre cuando puede conectarse a la red de cualquier operador. Por su parte, un teléfono está bloqueado cuando sólo puede utilizar la red de un único operador.	Airalo	Partnerships.Europe_CIS@airalo.com		AirGSM Pte. Ltd. | 6 Raffles Boulevard, Marina Square #03-308, Singapore 039594, Singapur, Singapur	https://www.civitatis.com/es/tarjeta-esim-colombia/	05-02-2026													
Medellín	Colombia	Tour navideño por Medellín	89.000	COP	69 opiniones	1.062	Tanto si sois unos Grinch como si os apasiona la Navidad, en este tour navideño en autobús de fiesta por Medellín os enamoraréis de la iluminación nocturna de sus calles. ¡Ho, ho, ho! || || Itinerario || || A la hora indicada nos encontraremos en junto al Parque El Poblado para abordar este autobús de fiesta. Antes de subir, os daremos un gorro navideño para iniciar el recorrido. || || Durante el paseo panorámico, pasaremos por las zonas mejor iluminadas del centro de Medellín. A lo largo del recorrido, disfrutaréis de la iluminación y conoceréis algunas de las tradiciones navideñas más representativas de Colombia. || || Después, haremos una parada en el parque Norte, donde podréis bajar del autobús para hacer fotos y apreciar de cerca las figuras navideñas de gran formato que se instalan en este parque. La última parada será en parques del Río, un punto emblemático de los alumbrados de Medellín, ideal para capturar el ambiente festivo de la ciudad. || || Finalmente, regresaremos al punto de partida, donde nos despediremos entre tres y cuatro horas después.	Aeroturex S.a.s	dircomercial@aeroturex.com	+57 317 4360789	AEROTUREX S.A.S | Calle 9 Nº41-66 Interior 202, Medellín, Colombia	https://www.civitatis.com/es/medellin/tour-navidad-medellin/	04-02-2026													
Cartagena de Indias	Colombia	Fiesta caribeña en barco por Cartagena	135.000	COP	41 opiniones	1.007	Con esta fiesta caribeña en barco por Cartagena de Indias disfrutaréis de una animada travesía mientras os movéis al ritmo de la música caribeña junto a bailarines profesionales. || || Itinerario || || 45 minutos antes de la hora indicada, nos encontraremos en la puerta 4 del muelle de la Bodeguita. Allí nos subiremos a bordo del barco Bequia Eagle para disfrutar de una fiesta caribeña mientras recorremos la bahía de Cartagena de Indias. La temática de la fiesta puede ser música champeta, desfile hawaiano o noche de salsa, entre otros. || || Primero, tomaremos un delicioso cóctel de bienvenida mientras vamos navegando hacia la bahía interna cartagenera y dejamos atrás el skyline de Cartagena. Un DJ pondrá música de lo más animada para que empecemos a mover las caderas. || || Además, unos bailarines profesionales harán diferentes exhibiciones y os sacarán a bailar para que aprendáis los ritmos de la cumbia, la puya, la rumba o el mapalé. ¿Sabéis que este último tiene origen africano? Su compás frenético os cautivará. || || Y no solo eso, sino que en el bar de la embarcación tendréis a vuestra disposición barra libre de cócteles mezclados con licores nacionales, gaseosa y agua. || || Después de dos horas de fiesta, daremos por finalizada la experiencia en el punto de partida. || || ¿Cómo es el barco? || || El Bequia Eagle es un barco de dos pisos con capacidad para 160 pasajeros. Posee un total de 8 baños y 2 bares a bordo.	Gestion Turistica Cartagena	comercial@gestionturisticacartagena.com	3144012658	GESTION TURISTICA.COM SAS | Bocagrande carrera 2 No.5-106, Cartagena, Colombia	https://www.civitatis.com/es/cartagena-de-indias/fiesta-caribena-barco-cartagena/	04-02-2026													
