destino,pais,actividad,precio,moneda,rating,viajeros,operador,email,telefono,direccion,url_actividad,fecha_scan
Sigiriya,Sri Lanka,Excursión privada a Polonnaruwa + Safari por el Parque Nacional de Minneriya,"128.998,29 CL$",CLP,4 opiniones,107 viajeros,Ceylon Travel Dream,ceylonreservationsteam@gmail.com,+94 76 92 13 119,"CEYLON TRAVEL DREAM | E/1 , Magala,Maliboda, Wellampitiya,Colombo, Sri Lanka",https://www.civitatis.com/es/sigiriya/excursion-polonnaruwa-safari-parque-minneriya/,2026-02-02
Sigiriya,Sri Lanka,"Tour privado por Sigiriya, Polonnaruwa y Medirigiriya","232.196,93 CL$",CLP,Sin valorar,22 viajeros,Ceylon Travel Dream,ceylonreservationsteam@gmail.com,+94 76 92 13 119,"CEYLON TRAVEL DREAM | E/1 , Magala,Maliboda, Wellampitiya,Colombo, Sri Lanka",https://www.civitatis.com/es/sigiriya/tour-sigiriya-polonnaruwa-medirigiriya/,2026-02-02
Sigiriya,Sri Lanka,Safari privado por el Parque Nacional de Minneriya,"71.870,47 CL$",CLP,5 opiniones,84 viajeros,Lakpura Solutions,sales2@lakpura.com,+94773524876,"Lakpura Solutions (Pvt) Ltd | No 78A, C.P De Silva Mawatha, Kaldemulla, Moratuwa, Sri Lanka",https://www.civitatis.com/es/sigiriya/safari-parque-minneriya/,2026-02-02
Sigiriya,Sri Lanka,Excursión privada a Anuradhapura,"193.497,44 CL$",CLP,1 opinión,27 viajeros,Ceylon Travel Dream,ceylonreservationsteam@gmail.com,+94 76 92 13 119,"CEYLON TRAVEL DREAM | E/1 , Magala,Maliboda, Wellampitiya,Colombo, Sri Lanka",https://www.civitatis.com/es/sigiriya/excursion-anuradhapura/,2026-02-02
Sigiriya,Sri Lanka,Safari privado por el Parque Nacional de Kaudulla,"55.284,98 CL$",CLP,1 opinión,40 viajeros,Lakpura Solutions,sales2@lakpura.com,+94773524876,"Lakpura Solutions (Pvt) Ltd | No 78A, C.P De Silva Mawatha, Kaldemulla, Moratuwa, Sri Lanka",https://www.civitatis.com/es/sigiriya/safari-parque-kaudulla/,2026-02-02
Sigiriya,Sri Lanka,Excursión privada a Kandy,"193.497,44 CL$",CLP,Sin valorar,12 viajeros,Ceylon Travel Dream,ceylonreservationsteam@gmail.com,+94 76 92 13 119,"CEYLON TRAVEL DREAM | E/1 , Magala,Maliboda, Wellampitiya,Colombo, Sri Lanka",https://www.civitatis.com/es/sigiriya/excursion-kandy/,2026-02-02
Sigiriya,Sri Lanka,Excursión a Polonnaruwa y Pidurangala,"101.355,80 CL$",CLP,Sin valorar,4 viajeros,Bh Lanka Tours,bhsrilankatours@gmail.com,+ 94 760953130,"B.H. Tours | No75, Samanpaya,Kudagalgamuwa, Kurunegala, Sri Lanka",https://www.civitatis.com/es/sigiriya/excursion-polonnaruwa-pidurangala/,2026-02-02
Sigiriya,Sri Lanka,Safari privado por el Parque Nacional Wilpattu,"171.383,45 CL$",CLP,Sin valorar,28 viajeros,Lakpura Solutions,sales2@lakpura.com,+94773524876,"Lakpura Solutions (Pvt) Ltd | No 78A, C.P De Silva Mawatha, Kaldemulla, Moratuwa, Sri Lanka",https://www.civitatis.com/es/sigiriya/safari-parque-wilpattu/,2026-02-02
Sigiriya,Sri Lanka,Tour privado por Pidurangala y la aldea Hiriwaduna,"193.497,44 CL$",CLP,Sin valorar,2 viajeros,Ceylon Travel Dream,ceylonreservationsteam@gmail.com,+94 76 92 13 119,"CEYLON TRAVEL DREAM | E/1 , Magala,Maliboda, Wellampitiya,Colombo, Sri Lanka",https://www.civitatis.com/es/sigiriya/tour-pidurangala-aldea-hiriwaduna/,2026-02-02
Sigiriya,Sri Lanka,Tour privado por Sigiriya y Hiriwadunna,"92.141,64 CL$",CLP,Sin valorar,11 viajeros,Ceylon Travel Dream,ceylonreservationsteam@gmail.com,+94 76 92 13 119,"CEYLON TRAVEL DREAM | E/1 , Magala,Maliboda, Wellampitiya,Colombo, Sri Lanka",https://www.civitatis.com/es/sigiriya/tour-sigiriya-hiriwadunna/,2026-02-02
Sigiriya,Sri Lanka,Excursión a Habarana,"46.070,82 CL$",CLP,Sin valorar,1 viajero,Bh Lanka Tours,bhsrilankatours@gmail.com,+ 94 760953130,"B.H. Tours | No75, Samanpaya,Kudagalgamuwa, Kurunegala, Sri Lanka",https://www.civitatis.com/es/sigiriya/excursion-habarana/,2026-02-02
Sigiriya,Sri Lanka,Paseo en globo por Sigiriya,"207.318,69 CL$",CLP,6 opiniones,93 viajeros,Sri Lanka Balloon,info@srilankaballoon.com,+940774727700,"Lanka Ballooning (Pvt) Ltd | 1st Mile Post, Batuyaya, Kandalama Road, Dambulla, Sri Lanka",https://www.civitatis.com/es/sigiriya/paseo-globo-sigiriya/,2026-02-02
Sigiriya,Sri Lanka,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Sigiriya,Sri Lanka,Paseo en globo por Dambulla,"207.318,69 CL$",CLP,Sin valorar,29 viajeros,Sri Lanka Balloon,info@srilankaballoon.com,+940774727700,"Lanka Ballooning (Pvt) Ltd | 1st Mile Post, Batuyaya, Kandalama Road, Dambulla, Sri Lanka",https://www.civitatis.com/es/dambulla/paseo-globo-dambulla/,2026-02-02
Kandy,Sri Lanka,Safari privado por el Parque Nacional de Minneriya,"141.898,12 CL$",CLP,Sin valorar,13 viajeros,Lakpura Solutions,sales2@lakpura.com,+94773524876,"Lakpura Solutions (Pvt) Ltd | No 78A, C.P De Silva Mawatha, Kaldemulla, Moratuwa, Sri Lanka",https://www.civitatis.com/es/kandy/safari-parque-minneriya/,2026-02-02
Kandy,Sri Lanka,Tour privado por Kandy,"103.198,63 CL$",CLP,Sin valorar,12 viajeros,Ceylon Travel Dream,ceylonreservationsteam@gmail.com,+94 76 92 13 119,"CEYLON TRAVEL DREAM | E/1 , Magala,Maliboda, Wellampitiya,Colombo, Sri Lanka",https://www.civitatis.com/es/kandy/tour-kandy/,2026-02-02
Kandy,Sri Lanka,Excursión privada a Sigiriya y Dambulla,"193.497,44 CL$",CLP,Sin valorar,14 viajeros,Ceylon Travel Dream,ceylonreservationsteam@gmail.com,+94 76 92 13 119,"CEYLON TRAVEL DREAM | E/1 , Magala,Maliboda, Wellampitiya,Colombo, Sri Lanka",https://www.civitatis.com/es/kandy/excursion-sigiriya-dambulla/,2026-02-02
Kandy,Sri Lanka,Tour privado por los templos de Kandy,"103.198,63 CL$",CLP,Sin valorar,13 viajeros,Ceylon Travel Dream,ceylonreservationsteam@gmail.com,+94 76 92 13 119,"CEYLON TRAVEL DREAM | E/1 , Magala,Maliboda, Wellampitiya,Colombo, Sri Lanka",https://www.civitatis.com/es/kandy/tour-templos-kandy/,2026-02-02
Kandy,Sri Lanka,Safari privado por el Parque Ecológico de Hurulu,"141.898,12 CL$",CLP,Sin valorar,5 viajeros,Lakpura Solutions,sales2@lakpura.com,+94773524876,"Lakpura Solutions (Pvt) Ltd | No 78A, C.P De Silva Mawatha, Kaldemulla, Moratuwa, Sri Lanka",https://www.civitatis.com/es/kandy/safari-parque-ecologico-hurulu/,2026-02-02
Kandy,Sri Lanka,Ruta privada de trekking de 2 días por Adam's Peak,"110.569,96 CL$",CLP,Sin valorar,4 viajeros,Travel Sri Lanka With Buddhika,travelwithbuddhika@gmail.com,+94713826635,"Lanka Ceylon Tours | 25/1, Udugoda, Wattegama, Kandy, Sri Lanka, Wattegama, Sri Lanka",https://www.civitatis.com/es/kandy/trekking-2-dias-adams-peak/,2026-02-02
Kandy,Sri Lanka,"Tour privado de 2 días por Sigiriya, Dambulla y Polonnaruwa","136.369,62 CL$",CLP,2 opiniones,13 viajeros,Travel Sri Lanka With Buddhika,travelwithbuddhika@gmail.com,+94713826635,"Lanka Ceylon Tours | 25/1, Udugoda, Wattegama, Kandy, Sri Lanka, Wattegama, Sri Lanka",https://www.civitatis.com/es/kandy/2-dias-sigiriya-dambulla-polonnaruwa/,2026-02-02
Kandy,Sri Lanka,Tour privado de 2 días por Nuwara Eliya y Ambuluwawa,"167.697,78 CL$",CLP,1 opinión,9 viajeros,Travel Sri Lanka With Buddhika,travelwithbuddhika@gmail.com,+94713826635,"Lanka Ceylon Tours | 25/1, Udugoda, Wattegama, Kandy, Sri Lanka, Wattegama, Sri Lanka",https://www.civitatis.com/es/kandy/2-dias-ambuluwawa-nuwara-eliya/,2026-02-02
Kandy,Sri Lanka,Ruta privada de trekking por la cordillera Knuckles,"277.346,33 CL$",CLP,Sin valorar,,Ceylon Travel Dream,ceylonreservationsteam@gmail.com,+94 76 92 13 119,"CEYLON TRAVEL DREAM | E/1 , Magala,Maliboda, Wellampitiya,Colombo, Sri Lanka",https://www.civitatis.com/es/kandy/trekking-cordillera-knuckles/,2026-02-02
Kandy,Sri Lanka,Safari privado por el Parque Nacional de Kaudulla,"141.898,12 CL$",CLP,Sin valorar,,Lakpura Solutions,sales2@lakpura.com,+94773524876,"Lakpura Solutions (Pvt) Ltd | No 78A, C.P De Silva Mawatha, Kaldemulla, Moratuwa, Sri Lanka",https://www.civitatis.com/es/kandy/safari-parque-kaudulla/,2026-02-02
Kandy,Sri Lanka,Ruta privada de rafting en Kitulgala,"112.412,80 CL$",CLP,2 opiniones,4 viajeros,Travel Sri Lanka With Buddhika,travelwithbuddhika@gmail.com,+94713826635,"Lanka Ceylon Tours | 25/1, Udugoda, Wattegama, Kandy, Sri Lanka, Wattegama, Sri Lanka",https://www.civitatis.com/es/kandy/rafting-kitulgala/,2026-02-02
Kandy,Sri Lanka,Excursión privada a la Torre Ambuluwawa y cataratas de Ramboda,"141.898,12 CL$",CLP,Sin valorar,6 viajeros,Ceylon Travel Dream,ceylonreservationsteam@gmail.com,+94 76 92 13 119,"CEYLON TRAVEL DREAM | E/1 , Magala,Maliboda, Wellampitiya,Colombo, Sri Lanka",https://www.civitatis.com/es/kandy/excursion-torre-ambuluwawa-cataratas-ramboda/,2026-02-02
Kandy,Sri Lanka,Excursión privada al Parque Nacional de las Llanuras de Horton,"193.497,44 CL$",CLP,Sin valorar,5 viajeros,Ceylon Travel Dream,ceylonreservationsteam@gmail.com,+94 76 92 13 119,"CEYLON TRAVEL DREAM | E/1 , Magala,Maliboda, Wellampitiya,Colombo, Sri Lanka",https://www.civitatis.com/es/kandy/excursion-parque-llanuras-horton/,2026-02-02
Kandy,Sri Lanka,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Dambulla,Sri Lanka,Paseo en globo por Dambulla,"207.318,69 CL$",CLP,Sin valorar,29 viajeros,Sri Lanka Balloon,info@srilankaballoon.com,+940774727700,"Lanka Ballooning (Pvt) Ltd | 1st Mile Post, Batuyaya, Kandalama Road, Dambulla, Sri Lanka",https://www.civitatis.com/es/dambulla/paseo-globo-dambulla/,2026-02-02
Dambulla,Sri Lanka,Tour privado por Pidurangala y la aldea Hiriwaduna,"193.497,44 CL$",CLP,Sin valorar,10 viajeros,Ceylon Travel Dream,ceylonreservationsteam@gmail.com,+94 76 92 13 119,"CEYLON TRAVEL DREAM | E/1 , Magala,Maliboda, Wellampitiya,Colombo, Sri Lanka",https://www.civitatis.com/es/dambulla/tour-pidurangala-aldea-hiriwaduna/,2026-02-02
Dambulla,Sri Lanka,Excursión a Habarana,"46.070,82 CL$",CLP,Sin valorar,4 viajeros,Bh Lanka Tours,bhsrilankatours@gmail.com,+ 94 760953130,"B.H. Tours | No75, Samanpaya,Kudagalgamuwa, Kurunegala, Sri Lanka",https://www.civitatis.com/es/dambulla/excursion-habarana/,2026-02-02
Dambulla,Sri Lanka,Safari privado por el Parque Nacional Wilpattu,"171.383,45 CL$",CLP,Sin valorar,1 viajero,Lakpura Solutions,sales2@lakpura.com,+94773524876,"Lakpura Solutions (Pvt) Ltd | No 78A, C.P De Silva Mawatha, Kaldemulla, Moratuwa, Sri Lanka",https://www.civitatis.com/es/dambulla/safari-parque-wilpattu/,2026-02-02
Dambulla,Sri Lanka,Excursión a Polonnaruwa y Pidurangala,"101.355,80 CL$",CLP,Sin valorar,2 viajeros,Bh Lanka Tours,bhsrilankatours@gmail.com,+ 94 760953130,"B.H. Tours | No75, Samanpaya,Kudagalgamuwa, Kurunegala, Sri Lanka",https://www.civitatis.com/es/dambulla/excursion-polonnaruwa-pidurangala/,2026-02-02
Dambulla,Sri Lanka,Safari privado por el Parque Nacional de Kaudulla,"71.870,47 CL$",CLP,Sin valorar,4 viajeros,Lakpura Solutions,sales2@lakpura.com,+94773524876,"Lakpura Solutions (Pvt) Ltd | No 78A, C.P De Silva Mawatha, Kaldemulla, Moratuwa, Sri Lanka",https://www.civitatis.com/es/dambulla/safari-parque-kaudulla/,2026-02-02
Dambulla,Sri Lanka,Safari privado por el Parque Ecológico de Hurulu,"71.870,47 CL$",CLP,Sin valorar,,Lakpura Solutions,sales2@lakpura.com,+94773524876,"Lakpura Solutions (Pvt) Ltd | No 78A, C.P De Silva Mawatha, Kaldemulla, Moratuwa, Sri Lanka",https://www.civitatis.com/es/dambulla/safari-parque-ecologico-hurulu/,2026-02-02
Dambulla,Sri Lanka,Safari privado por el Parque Nacional de Minneriya,"71.870,47 CL$",CLP,Sin valorar,22 viajeros,Lakpura Solutions,sales2@lakpura.com,+94773524876,"Lakpura Solutions (Pvt) Ltd | No 78A, C.P De Silva Mawatha, Kaldemulla, Moratuwa, Sri Lanka",https://www.civitatis.com/es/dambulla/safari-parque-minneriya/,2026-02-02
Dambulla,Sri Lanka,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Dambulla,Sri Lanka,Excursión privada a Polonnaruwa + Safari por el Parque Nacional de Minneriya,"128.998,29 CL$",CLP,4 opiniones,107 viajeros,Ceylon Travel Dream,ceylonreservationsteam@gmail.com,+94 76 92 13 119,"CEYLON TRAVEL DREAM | E/1 , Magala,Maliboda, Wellampitiya,Colombo, Sri Lanka",https://www.civitatis.com/es/sigiriya/excursion-polonnaruwa-safari-parque-minneriya/,2026-02-02
Dambulla,Sri Lanka,Excursión privada a Anuradhapura,"193.497,44 CL$",CLP,1 opinión,27 viajeros,Ceylon Travel Dream,ceylonreservationsteam@gmail.com,+94 76 92 13 119,"CEYLON TRAVEL DREAM | E/1 , Magala,Maliboda, Wellampitiya,Colombo, Sri Lanka",https://www.civitatis.com/es/sigiriya/excursion-anuradhapura/,2026-02-02
Dambulla,Sri Lanka,"Tour privado por Sigiriya, Polonnaruwa y Medirigiriya","232.196,93 CL$",CLP,Sin valorar,22 viajeros,Ceylon Travel Dream,ceylonreservationsteam@gmail.com,+94 76 92 13 119,"CEYLON TRAVEL DREAM | E/1 , Magala,Maliboda, Wellampitiya,Colombo, Sri Lanka",https://www.civitatis.com/es/sigiriya/tour-sigiriya-polonnaruwa-medirigiriya/,2026-02-02
Dambulla,Sri Lanka,Excursión privada a Kandy,"193.497,44 CL$",CLP,Sin valorar,12 viajeros,Ceylon Travel Dream,ceylonreservationsteam@gmail.com,+94 76 92 13 119,"CEYLON TRAVEL DREAM | E/1 , Magala,Maliboda, Wellampitiya,Colombo, Sri Lanka",https://www.civitatis.com/es/sigiriya/excursion-kandy/,2026-02-02
Dambulla,Sri Lanka,Tour privado por Sigiriya y Hiriwadunna,"92.141,64 CL$",CLP,Sin valorar,11 viajeros,Ceylon Travel Dream,ceylonreservationsteam@gmail.com,+94 76 92 13 119,"CEYLON TRAVEL DREAM | E/1 , Magala,Maliboda, Wellampitiya,Colombo, Sri Lanka",https://www.civitatis.com/es/sigiriya/tour-sigiriya-hiriwadunna/,2026-02-02
Dambulla,Sri Lanka,Paseo en globo por Sigiriya,"207.318,69 CL$",CLP,6 opiniones,93 viajeros,Sri Lanka Balloon,info@srilankaballoon.com,+940774727700,"Lanka Ballooning (Pvt) Ltd | 1st Mile Post, Batuyaya, Kandalama Road, Dambulla, Sri Lanka",https://www.civitatis.com/es/sigiriya/paseo-globo-sigiriya/,2026-02-02
Negombo,Sri Lanka,Tour en tuk tuk por Negombo + Paseo en barco,"36.856,65 CL$",CLP,Sin valorar,8 viajeros,Capital Tour By Tuk Tuk,ceyloncapital8@gmail.com,0752008824,"Capital Tour by Tuk Tuk | Negombo Road, Welisara, Sri Lanka",https://www.civitatis.com/es/negombo/tour-tuk-tuk-paseo-barco/,2026-02-02
Negombo,Sri Lanka,Excursión privada a Kandy,"180.597,61 CL$",CLP,1 opinión,9 viajeros,Flying Bird Tours,fbirdtours@gmail.com,+12502036827,"P.M.M.P. BANDARA | 54, Gurullagama, Halpe, Mirigama, Sri Lanka",https://www.civitatis.com/es/negombo/excursion-kandy/,2026-02-02
Negombo,Sri Lanka,Excursión privada a Colombo,"134.987,50 CL$",CLP,Sin valorar,4 viajeros,Flying Bird Tours,fbirdtours@gmail.com,+12502036827,"P.M.M.P. BANDARA | 54, Gurullagama, Halpe, Mirigama, Sri Lanka",https://www.civitatis.com/es/negombo/excursion-colombo/,2026-02-02
Negombo,Sri Lanka,Safari privado por el Parque Nacional Wilpattu,"193.497,44 CL$",CLP,Sin valorar,7 viajeros,Real Lanka Holidays Pvt Ltd,premilreallankaholiday@gmail.com,+94777108200,"Real Lanka Holidays Pvt Ltd | No 210/D,Kimbulapitiya Road,Kadirana, Negombo, Sri Lanka",https://www.civitatis.com/es/negombo/safari-wilpattu/,2026-02-02
Negombo,Sri Lanka,Excursión privada a Udawalawe,"305.910,24 CL$",CLP,Sin valorar,4 viajeros,Flying Bird Tours,fbirdtours@gmail.com,+12502036827,"P.M.M.P. BANDARA | 54, Gurullagama, Halpe, Mirigama, Sri Lanka",https://www.civitatis.com/es/negombo/excursion-udawalawe/,2026-02-02
Negombo,Sri Lanka,Visita guiada por Negombo,"9.214,16 CL$",CLP,Sin valorar,15 viajeros,Real Lanka Holidays Pvt Ltd,premilreallankaholiday@gmail.com,+94777108200,"Real Lanka Holidays Pvt Ltd | No 210/D,Kimbulapitiya Road,Kadirana, Negombo, Sri Lanka",https://www.civitatis.com/es/negombo/visita-guiada-negombo/,2026-02-02
Negombo,Sri Lanka,Tour privado por Negombo,107.990 CL$,CLP,Sin valorar,,Flying Bird Tours,fbirdtours@gmail.com,+12502036827,"P.M.M.P. BANDARA | 54, Gurullagama, Halpe, Mirigama, Sri Lanka",https://www.civitatis.com/es/negombo/tour-negombo/,2026-02-02
Negombo,Sri Lanka,Tour privado de 2 días por Nuwara Eliya,"738.054,54 CL$",CLP,Sin valorar,,Flying Bird Tours,fbirdtours@gmail.com,+12502036827,"P.M.M.P. BANDARA | 54, Gurullagama, Halpe, Mirigama, Sri Lanka",https://www.civitatis.com/es/negombo/tour-2-dias-nuwara-eliya/,2026-02-02
Negombo,Sri Lanka,Rafting en Kitulgala,"170.462,03 CL$",CLP,Sin valorar,,Bh Lanka Tours,bhsrilankatours@gmail.com,+ 94 760953130,"B.H. Tours | No75, Samanpaya,Kudagalgamuwa, Kurunegala, Sri Lanka",https://www.civitatis.com/es/negombo/rafting-kitulgala/,2026-02-02
Negombo,Sri Lanka,Excursión privada a Galle,"180.597,61 CL$",CLP,Sin valorar,,Flying Bird Tours,fbirdtours@gmail.com,+12502036827,"P.M.M.P. BANDARA | 54, Gurullagama, Halpe, Mirigama, Sri Lanka",https://www.civitatis.com/es/negombo/excursion-galle/,2026-02-02
Negombo,Sri Lanka,Tour en kayak por el lago de Negombo,"18.428,32 CL$",CLP,Novedad,,Lakpura Solutions,sales2@lakpura.com,+94773524876,"Lakpura Solutions (Pvt) Ltd | No 78A, C.P De Silva Mawatha, Kaldemulla, Moratuwa, Sri Lanka",https://www.civitatis.com/es/negombo/tour-kayak-lago-negombo/,2026-02-02
