destino,pais,actividad,precio,moneda,rating,viajeros,operador,email,telefono,direccion,url_actividad,fecha_scan
Queenstown,Nueva Zelanda,Tour en segway por Queenstown,"54.879,89 CL$",CLP,1 opinión,6 viajeros,Segway On Q,segwayonq@gmail.com,0273442237,"Segway on Q | 83A Arawata Terrace, Sunshine Bay, Queenstown, Nueva Zelanda",https://www.civitatis.com/es/queenstown/tour-segway-queenstown/,2026-02-02
Queenstown,Nueva Zelanda,Autobús turístico de los viñedos de Queenstown,"55.157,06 CL$",CLP,Sin valorar,3 viajeros,Hop On Hop Off Wine Tours Ltd,enquiries@hoponhopoffwinetours.com,03 573 5508,"Hop on Hop Off wine Tours LTD | 3 Auckland Street, Picton, Nueva Zelanda",https://www.civitatis.com/es/queenstown/autobus-turistico-vinedos-queenstown/,2026-02-02
Queenstown,Nueva Zelanda,Alquiler de bicicleta en Queenstown,"33.260,54 CL$",CLP,Sin valorar,14 viajeros,Going Blue Queenstown,bikehirequeenstown@gmail.com,027 746 2583,"Going Blue Queenstown | Camp street, Queenstown, Nueva Zelanda",https://www.civitatis.com/es/queenstown/alquiler-bicicleta-queenstown/,2026-02-02
Queenstown,Nueva Zelanda,Salto en paracaídas en Queenstown,"199.008,90 CL$",CLP,Sin valorar,2 viajeros,Nzone Skydive,accountsreceivable@experienceco.co.nz,+64 0 21 749 675,"SKYDIVE QUEENSTOWN LIMITED | 35 Shotover street, Queenstown, Nueva Zelanda",https://www.civitatis.com/es/queenstown/salto-paracaidas-queenstown/,2026-02-02
Queenstown,Nueva Zelanda,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Paihia,Nueva Zelanda,Tour en catamarán por Bahía de las Islas,"124.727,02 CL$",CLP,Sin valorar,3 viajeros,Barefoot Sailing Adventures,fun@barefootsailing.co.nz,0274784234,"Barefoot Sailing Adventures | 41a Ward Drive Opua, Bay of Islands, Nueva Zelanda",https://www.civitatis.com/es/paihia/tour-catamaran-bahia-islas/,2026-02-02
Paihia,Nueva Zelanda,Excursión en barco por Bahía de las Islas,"159.650,59 CL$",CLP,Sin valorar,,The Rock Adventure Cruise,info@rocktheboat.co.nz,+64 9 4027796,"Bay of Islands Rock Cruises Limited | 69 Marsden Road, Paihia, Nueva Zelanda",https://www.civitatis.com/es/paihia/excursion-barco-bahia-islas/,2026-02-02
Paihia,Nueva Zelanda,Tour del vino por Bahía de las Islas,"116.411,89 CL$",CLP,Sin valorar,2 viajeros,Mullarkey Tours Limited,admin@mullarkeytours.co.nz,+642102773446,"Mullarkey Tours LTD | 110 Foreshore Road, Kaitaia, Nueva Zelanda",https://www.civitatis.com/es/paihia/tour-vino-bahia-islas/,2026-02-02
Paihia,Nueva Zelanda,"Excursión a las cuevas Kawiti, el bosque de Opua y Hundertwasser","133.042,16 CL$",CLP,Sin valorar,,Mullarkey Tours Limited,admin@mullarkeytours.co.nz,+642102773446,"Mullarkey Tours LTD | 110 Foreshore Road, Kaitaia, Nueva Zelanda",https://www.civitatis.com/es/paihia/excursion-cuevas-kawiti-opua-hundertwasser/,2026-02-02
Paihia,Nueva Zelanda,Paseo en catamarán al atardecer,"52.662,52 CL$",CLP,1 opinión,4 viajeros,Barefoot Sailing Adventures,fun@barefootsailing.co.nz,0274784234,"Barefoot Sailing Adventures | 41a Ward Drive Opua, Bay of Islands, Nueva Zelanda",https://www.civitatis.com/es/paihia/paseo-catamaran-atardecer/,2026-02-02
Paihia,Nueva Zelanda,Parasailing en Bahía de las Islas,"69.292,79 CL$",CLP,1 opinión,4 viajeros,Bay Of Islands Parasail,info@bayofislandsparasail.com,006494026068,"Flying Kiwi Parasail | 16 wilson road, haruru Falls, Paihia, Nueva Zelanda",https://www.civitatis.com/es/paihia/parasailing-bahia-islas/,2026-02-02
Paihia,Nueva Zelanda,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Auckland,Nueva Zelanda,Autobús turístico de Auckland,"38.803,96 CL$",CLP,3 opiniones,106 viajeros,Auckland Explorer Bus,mikem@entradatravelgroup.com,021533206,"AUCKLAND EXPLORER BUS LIMITED | 600 Great South Road, Building A Level 2, Auckland, Nueva Zelanda",https://www.civitatis.com/es/auckland/autobus-turistico-auckland/,2026-02-02
Auckland,Nueva Zelanda,Tour privado por Auckland,"109.308,54 CL$",CLP,3 opiniones,122 viajeros,Guydeez,lauderic@guydeez.com,+34 670 78 37 54,"GUYDEEZ TOUR - FZCO | IFZA Business Park, DDP, Dubái, Emiratos Árabes Unidos",https://www.civitatis.com/es/auckland/tour-privado-auckland/,2026-02-02
Auckland,Nueva Zelanda,Tour de Auckland al completo,"113.640,18 CL$",CLP,3 opiniones,82 viajeros,Auckland Scenic Tours,info@aucklandscenictours.co.nz,+64 21 403325,"Auckland Scenic Tours | 145 Queen Street, Northcote Point, Auckland, Nueva Zelanda",https://www.civitatis.com/es/auckland/tour-auckland-completo/,2026-02-02
Auckland,Nueva Zelanda,"Excursión a Rotorua, Wai-O-Tapu y Te Puia","221.182,59 CL$",CLP,14 opiniones,177 viajeros,Cheeky Kiwi Travel,bookings@cheekykiwitravel.com,+64 9 390 7380,"CHEEKY KIWI TRAVEL LIMITED | 13 Worsley St, Te Anau, Nueva Zelanda",https://www.civitatis.com/es/auckland/excursion-rotorua-wai-tapu-te-puia/,2026-02-02
Auckland,Nueva Zelanda,Tour nocturno por las cuevas Glow Worm,"33.260,54 CL$",CLP,2 opiniones,68 viajeros,Social Nature Movement,support@snm.nz,+64211469769,"Social Nature Movement Limited | 1/45 Edenvale Cres. Mount Eden , Auckland, Nueva Zelanda",https://www.civitatis.com/es/auckland/tour-nocturno-cuevas-glow-worm/,2026-02-02
Auckland,Nueva Zelanda,Traslados en Auckland,"59.314,63 CL$",CLP,21 opiniones,470 viajeros,No especificado / Único,N/A,N/A,N/A,https://www.civitatis.com/es/auckland/traslados/,2026-02-02
Auckland,Nueva Zelanda,Excursión a Bahía de las Islas,"254.443,13 CL$",CLP,Sin valorar,8 viajeros,Auckland & Beyond Tours,info@aucklandandbeyond.co.nz,+64220833075,"Auckland and Beyond Limited | 19 Meadowood Drive, Auckland, Auckland, Nueva Zelanda",https://www.civitatis.com/es/auckland/excursion-bahia-islas/,2026-02-02
Auckland,Nueva Zelanda,Excursión a la península de Coromandel,"146.900,72 CL$",CLP,1 opinión,33 viajeros,Cheeky Kiwi Travel,bookings@cheekykiwitravel.com,+64 9 390 7380,"CHEEKY KIWI TRAVEL LIMITED | 13 Worsley St, Te Anau, Nueva Zelanda",https://www.civitatis.com/es/auckland/excursion-peninsula-coromandel/,2026-02-02
Auckland,Nueva Zelanda,Excursión a Hobbiton y Rotorua,"237.812,86 CL$",CLP,Sin valorar,65 viajeros,Cheeky Kiwi Travel,bookings@cheekykiwitravel.com,+64 9 390 7380,"CHEEKY KIWI TRAVEL LIMITED | 13 Worsley St, Te Anau, Nueva Zelanda",https://www.civitatis.com/es/auckland/excursion-hobbiton-rotorua/,2026-02-02
Auckland,Nueva Zelanda,Tour del plancton luminiscente en kayak por Auckland,"60.977,65 CL$",CLP,1 opinión,22 viajeros,Social Nature Movement,support@snm.nz,+64211469769,"Social Nature Movement Limited | 1/45 Edenvale Cres. Mount Eden , Auckland, Nueva Zelanda",https://www.civitatis.com/es/auckland/tour-plancton-luminiscente-kayak/,2026-02-02
Auckland,Nueva Zelanda,Senderismo por el Parque Regional de Duder,"60.977,65 CL$",CLP,Sin valorar,11 viajeros,Social Nature Movement,support@snm.nz,+64211469769,"Social Nature Movement Limited | 1/45 Edenvale Cres. Mount Eden , Auckland, Nueva Zelanda",https://www.civitatis.com/es/auckland/senderismo-parque-duder/,2026-02-02
Auckland,Nueva Zelanda,Tarjeta eSIM con Internet para Nueva Zelanda,"22.574,70 CL$",CLP,2 opiniones,37 viajeros,Xplori,go@xplori.world,+84852186217,"WM&B Limited | 93-97 Des Voeux Road West, Hong Kong Island, China",https://www.civitatis.com/es/auckland/tarjeta-esim-nueva-zelanda/,2026-02-02
Auckland,Nueva Zelanda,Salto en paracaídas en Auckland,"191.248,10 CL$",CLP,2 opiniones,9 viajeros,Skydive Auckland,marketing@skydiveauckland.com,0064276315020,"Skydive Auckland Limited | 73 Green Road, Parakai, West Auckland, Auckland, Nueva Zelanda",https://www.civitatis.com/es/auckland/salto-tandem-auckland/,2026-02-02
Auckland,Nueva Zelanda,Excursión a Hobbiton + Cuevas de Waitomo,"206.215,35 CL$",CLP,28 opiniones,550 viajeros,Auckland Scenic Tours,info@aucklandscenictours.co.nz,+64 21 403325,"Auckland Scenic Tours | 145 Queen Street, Northcote Point, Auckland, Nueva Zelanda",https://www.civitatis.com/es/auckland/excursion-hobbiton-cuevas-waitomo/,2026-02-02
Auckland,Nueva Zelanda,Excursión a Hobbiton + Cuevas de Waitomo,"206.215,35 CL$",CLP,28 opiniones,550 viajeros,Cheeky Kiwi Travel,bookings@cheekykiwitravel.com,+64 9 390 7380,"CHEEKY KIWI TRAVEL LIMITED | 13 Worsley St, Te Anau, Nueva Zelanda",https://www.civitatis.com/es/auckland/excursion-hobbiton-cuevas-waitomo/,2026-02-02
Auckland,Nueva Zelanda,Paseo en barco por Auckland,"19.401,98 CL$",CLP,Sin valorar,8 viajeros,The Red Boats,info@theredboats.co.nz,0272530510,"The Red Boats Ltd | 31 Westhaven Drive, Auckland, Nueva Zelanda",https://www.civitatis.com/es/auckland/paseo-barco-auckland/,2026-02-02
Auckland,Nueva Zelanda,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Wellington,Nueva Zelanda,Tour por los escenarios de El Señor de los Anillos,"97.009,91 CL$",CLP,2 opiniones,26 viajeros,Wanderlust Tourism Group Ltd,chewy@wtgl.nz,021459521,"Wanderlust Tourism Group | 51 Dudley Street, Lower Hutt, 5010, Wellington, Nueva Zelanda",https://www.civitatis.com/es/wellington/tour-senor-anillos/,2026-02-02
Wellington,Nueva Zelanda,Tour por Wellington,"108.096,75 CL$",CLP,6 opiniones,39 viajeros,Zozo Travel Limited,phil.mildenhall@zozotravel.co.nz,0221345152,"Zozo Travel | 6 Colson Street, Avalon, Lower Hutt, Nueva Zelanda",https://www.civitatis.com/es/wellington/tour-wellington/,2026-02-02
Wellington,Nueva Zelanda,Tarjeta eSIM con Internet para Nueva Zelanda,"22.574,70 CL$",CLP,2 opiniones,37 viajeros,Xplori,go@xplori.world,+84852186217,"WM&B Limited | 93-97 Des Voeux Road West, Hong Kong Island, China",https://www.civitatis.com/es/wellington/tarjeta-esim-nueva-zelanda/,2026-02-02
Wellington,Nueva Zelanda,Tour del vino por Martinborough,"99.781,62 CL$",CLP,Sin valorar,4 viajeros,Zozo Travel Limited,phil.mildenhall@zozotravel.co.nz,0221345152,"Zozo Travel | 6 Colson Street, Avalon, Lower Hutt, Nueva Zelanda",https://www.civitatis.com/es/wellington/tour-vino-martinborough/,2026-02-02
Wellington,Nueva Zelanda,Tour en 4x4 por la costa de Wellington + Avistamiento de focas,"108.096,75 CL$",CLP,1 opinión,5 viajeros,Wanderlust Tourism Group Ltd,chewy@wtgl.nz,021459521,"Wanderlust Tourism Group | 51 Dudley Street, Lower Hutt, 5010, Wellington, Nueva Zelanda",https://www.civitatis.com/es/wellington/tour-4x4-avistamiento-focas/,2026-02-02
Wellington,Nueva Zelanda,Tour gastronómico por Wellington,"138.585,58 CL$",CLP,Sin valorar,,Food And Spice Odyssey,sales@foodandspiceodyssey.nz,+64 275 155 715,"Salters Fine Foods Limited | 1C/1 Clyde Quay Wharf, Te Aro, Wellingon, Nueva Zelanda",https://www.civitatis.com/es/wellington/tour-gastronomico-wellington/,2026-02-02
Wellington,Nueva Zelanda,Rafting en el río Hutt,82.597 CL$,CLP,Sin valorar,,Wellington Rafting,wellington.rafting@gmail.com,0204723848,"Wellington Whitewater Adventures LTD. | 9A Jupiter grove, Trentham, Upper Hutt, Nueva Zelanda",https://www.civitatis.com/es/wellington/rafting-rio-hutt/,2026-02-02
Wellington,Nueva Zelanda,Tour en bicicleta por Wellington,"80.379,64 CL$",CLP,Sin valorar,,Switched On Bikes,ryan@switchedonbikes.co.nz,04 473 1080,"SWITCHED ON BIKES LIMITED | PO Box 18, Wellington, Nueva Zelanda",https://www.civitatis.com/es/wellington/tour-bicicleta-wellington/,2026-02-02
Wellington,Nueva Zelanda,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Wanaka,Nueva Zelanda,Excursión a la isla Mou Waho,"74.836,21 CL$",CLP,Sin valorar,8 viajeros,Wanaka Water Taxi & 4X4 Explorer,info@wanakawatertaxi.co.nz,+64211520689 0800273687,"Aqua Adventures Wanaka LTD | 185 Mt Barker Rd, RD 2, Wanaka, Nueva Zelanda",https://www.civitatis.com/es/wanaka/excursion-isla-mou-waho/,2026-02-02
Wanaka,Nueva Zelanda,Paseo en barco por las islas del lago Wanaka,"27.162,77 CL$",CLP,1 opinión,14 viajeros,Lake Wanaka Cruises,tim@lakecruise.co.nz,64 021 307 104,"Cruise Lake Wanaka Ltd | 9 Wicklow Tce Albert Town, Wanaka, Nueva Zelanda",https://www.civitatis.com/es/wanaka/paseo-barco-islas-lago-wanaka/,2026-02-02
Wanaka,Nueva Zelanda,Salto en paracaídas en Wanaka,"199.008,90 CL$",CLP,Sin valorar,3 viajeros,Skydive Wanaka,info@skydivewanaka.com,+64 0 21 749 675,"SKYDIVE QUEENSTOWN LIMITED | 14 Mustang Lane, Wanaka, Nueva Zelanda",https://www.civitatis.com/es/wanaka/salto-paracaidas-wanaka/,2026-02-02
Wanaka,Nueva Zelanda,Paseo en barco por el lago Wanaka,"38.249,62 CL$",CLP,1 opinión,6 viajeros,Lake Wanaka Cruises,tim@lakecruise.co.nz,64 021 307 104,"Cruise Lake Wanaka Ltd | 9 Wicklow Tce Albert Town, Wanaka, Nueva Zelanda",https://www.civitatis.com/es/wanaka/paseo-barco-lago-wanaka/,2026-02-02
Wanaka,Nueva Zelanda,Alquiler de bicicleta en el lago Hawea + Transporte desde Wanaka,"66.521,08 CL$",CLP,Sin valorar,,Wanaka Bike Tours & Hike Limited,info@wanakabiketours.co.nz,0275261702,"Wanaka Bike Tours & Hike Limited | 103 Ardmore Street, Wanaka, Nueva Zelanda",https://www.civitatis.com/es/wanaka/alquiler-bicicleta-lago-hawea/,2026-02-02
Wanaka,Nueva Zelanda,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Rarotonga,Nueva Zelanda,Cena tradicional en Rarotonga,"69.292,79 CL$",CLP,Sin valorar,2 viajeros,Cook Islands Tours,marketing@cookislandstours.co.ck,+682 20639,"Cook Islands Holidays & Tours Ltd. | Avatiu Harbour, Avatiu, Rarotonga, Islas Cook, Nueva Zelanda",https://www.civitatis.com/es/rarotonga/cena-tradicional-rarotonga/,2026-02-02
Rarotonga,Nueva Zelanda,Tour por Rarotonga,"49.890,81 CL$",CLP,Sin valorar,,Cook Islands Tours,marketing@cookislandstours.co.ck,+682 20639,"Cook Islands Holidays & Tours Ltd. | Avatiu Harbour, Avatiu, Rarotonga, Islas Cook, Nueva Zelanda",https://www.civitatis.com/es/rarotonga/tour-rarotonga/,2026-02-02
Rarotonga,Nueva Zelanda,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Rarotonga,Nueva Zelanda,Traslados en Rarotonga,"14.135,72 CL$",CLP,Novedad,37 viajeros,No especificado / Único,N/A,N/A,N/A,https://www.civitatis.com/es/rarotonga/traslados/,2026-02-02
Te Anau,Nueva Zelanda,Excursión al fiordo Milford Sound,"165.748,36 CL$",CLP,2 opiniones,40 viajeros,Cheeky Kiwi Travel,bookings@cheekykiwitravel.com,+64 9 390 7380,"CHEEKY KIWI TRAVEL LIMITED | 13 Worsley St, Te Anau, Nueva Zelanda",https://www.civitatis.com/es/te-anau/excursion-fiordo-milford-sound/,2026-02-02
Te Anau,Nueva Zelanda,Paseo en helicóptero por el Parque Nacional de Fiordland,"213.421,80 CL$",CLP,Sin valorar,8 viajeros,Southern Lakes Helicopters,marketing@slheli.co.nz,03 249 7167,"Southern Lakes Helicopters LTD | 79 Lakefront Drive, Te Anau, Nueva Zelanda",https://www.civitatis.com/es/te-anau/paseo-helicoptero-parque-fiordland/,2026-02-02
Te Anau,Nueva Zelanda,Helicóptero a Fiordland + Trekking por Luxmore Hut,"243.910,63 CL$",CLP,Sin valorar,3 viajeros,Southern Lakes Helicopters,marketing@slheli.co.nz,03 249 7167,"Southern Lakes Helicopters LTD | 79 Lakefront Drive, Te Anau, Nueva Zelanda",https://www.civitatis.com/es/te-anau/helicoptero-firodland-trekking-luxmore-hut/,2026-02-02
Te Anau,Nueva Zelanda,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Whitianga,Nueva Zelanda,Paseo en barco por la costa de Coromandel,"80.379,64 CL$",CLP,Sin valorar,4 viajeros,Boom Sailing,boomsailing@gmail.com,+64223278510,"Boom Charters limited | 18 Sarah ave, Whitianga, Nueva Zelanda",https://www.civitatis.com/es/whitianga/paseo-barco-costa-coromandel/,2026-02-02
Whitianga,Nueva Zelanda,Alquiler de barco con patrón en Whitianga,"659.667,39 CL$",CLP,Sin valorar,,Boom Sailing,boomsailing@gmail.com,+64223278510,"Boom Charters limited | 18 Sarah ave, Whitianga, Nueva Zelanda",https://www.civitatis.com/es/whitianga/alquiler-barco-patron-whitianga/,2026-02-02
Whitianga,Nueva Zelanda,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Taupo,Nueva Zelanda,Paseo en barco por el lago Taupo,"32.706,19 CL$",CLP,Sin valorar,23 viajeros,Sail Barbary Ltd,bookings@sailbarbary.com,+64 7 378 5879,"Malolo Adventures Limited | 109 Tuwharetoa Street, Taupo, Nueva Zelanda",https://www.civitatis.com/es/taupo/paseo-barco-lago-taupo/,2026-02-02
Taupo,Nueva Zelanda,Paseo en barco al atardecer por el lago Taupo,"38.249,62 CL$",CLP,Sin valorar,27 viajeros,Sail Barbary Ltd,bookings@sailbarbary.com,+64 7 378 5879,"Malolo Adventures Limited | 109 Tuwharetoa Street, Taupo, Nueva Zelanda",https://www.civitatis.com/es/taupo/paseo-barco-atardecer-lago-taupo/,2026-02-02
Taupo,Nueva Zelanda,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Rotorua,Nueva Zelanda,Tour en kayak por las cuevas Glow Worm,"108.096,75 CL$",CLP,Sin valorar,21 viajeros,Taiao Adventures,jannel@paddleboardrotorua.com,0224279136,"ROTORUA JETBOARD TOURS LIMITED | 64 Arahiwi Rise, Rd 1, Parua Bay, 0, Parua Bay, Nueva Zelanda",https://www.civitatis.com/es/rotorua/tour-kayak-glow-worm/,2026-02-02
Rotorua,Nueva Zelanda,Entrada a Hell’s Gate,"49.890,81 CL$",CLP,Sin valorar,30 viajeros,Hell's Gate Geothermal Reserve & Mud Spa,scott@hellsgate.co.nz,073453151,"Whakapoungakau 24 Limited Partnership | 351 State Highway 30, Rotorua, Nueva Zelanda",https://www.civitatis.com/es/rotorua/entrada-hells-gate/,2026-02-02
Rotorua,Nueva Zelanda,Rafting en el río Kaituna,"74.836,21 CL$",CLP,2 opiniones,11 viajeros,Kaituna Rafting Ltd,info@kaitunacascades.co.nz,+64272765457,"Kaituna Cascades | 18 Okere Falls road - Okere Falls, Rotorua, Nueva Zelanda",https://www.civitatis.com/es/rotorua/rafting-rio-kaituna/,2026-02-02
Rotorua,Nueva Zelanda,Visita al Criadero Nacional de Kiwis,"41.575,67 CL$",CLP,Sin valorar,8 viajeros,The National Kiwi Hatchery,Accounts@nationalkiwihatchery.org.nz,+64 7 350 0440,"THE NATIONAL KIWI RECOVERY TRUST | 141 Western Road, Ngongotahā, Rotorua 3010, Rotorua, Nueva Zelanda",https://www.civitatis.com/es/rotorua/visita-criadero-nacional-kiwis/,2026-02-02
Rotorua,Nueva Zelanda,Visita guiada por Hell’s Gate,"24.945,40 CL$",CLP,Sin valorar,9 viajeros,Hell's Gate Geothermal Reserve & Mud Spa,scott@hellsgate.co.nz,073453151,"Whakapoungakau 24 Limited Partnership | 351 State Highway 30, Rotorua, Nueva Zelanda",https://www.civitatis.com/es/rotorua/visita-guiada-hells-gate/,2026-02-02
Rotorua,Nueva Zelanda,Traslados en Rotorua,"59.314,63 CL$",CLP,21 opiniones,470 viajeros,No especificado / Único,N/A,N/A,N/A,https://www.civitatis.com/es/rotorua/traslados/,2026-02-02
Rotorua,Nueva Zelanda,Tour en kayak por el lago Rotoiti + Aguas termales de Manupirua,"94.238,19 CL$",CLP,Sin valorar,2 viajeros,Waimarino Kayak Tours,info@glowwormkayaking.com,07 576 4233,"Waimarino Ltd | 36 Taniwha Place RD6 Bethlehem, Tauranga, Nueva Zelanda",https://www.civitatis.com/es/rotorua/tour-kayak-lago-rotoiti-manupirua/,2026-02-02
Rotorua,Nueva Zelanda,Excursión al valle volcánico de Waimangu + Tour en kayak,"207.878,38 CL$",CLP,Sin valorar,,Taiao Adventures,jannel@paddleboardrotorua.com,0224279136,"ROTORUA JETBOARD TOURS LIMITED | 64 Arahiwi Rise, Rd 1, Parua Bay, 0, Parua Bay, Nueva Zelanda",https://www.civitatis.com/es/rotorua/excursion-valle-volcanico-waimangu-kayak/,2026-02-02
Rotorua,Nueva Zelanda,Excursión a Hobbiton,"169.628,75 CL$",CLP,Sin valorar,31 viajeros,Entrada Travel Group,sales@entradatravelgroup.com,,"Intercity Group (NZ) Ltd | Level One Building C, 600 Great South Road, Greenlane, Auckland, New Zealand, Auckland, Nueva Zelanda",https://www.civitatis.com/es/rotorua/excursion-hobbiton/,2026-02-02
Rotorua,Nueva Zelanda,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
